,name,W Guess,W Max Likelihood,R2,W_offset,step
0,Airfoil Self Noise SSE,[0.99987343 0.00995345 0.99942055 0.99998287 0.99297089 0.99999911],"[ 1.32833806e+02 -1.28220711e-03 -4.21911706e-01 -3.56880012e+01
  9.98540449e-02 -1.47300519e+02]",-60.37657230307071,"[ 1.31833932e+02 -1.12356573e-02 -1.42133226e+00 -3.66879841e+01
 -8.93116849e-01 -1.48300518e+02]",132
1,Concrete Data SSE ,"[ 0.99675303  0.09300563  0.07109261  0.03967772 -0.092416    0.92960282
  0.01032704 -0.00352083  0.10912779]","[-2.33312136e+01  1.19804334e-01  1.03865809e-01  8.79343215e-02
 -1.49918419e-01  2.92224595e-01  1.80862148e-02  2.01903511e-02
  1.14222068e-01]",0.5927541357416798,"[-2.43279666e+01  2.67987046e-02  3.27732013e-02  4.82565995e-02
 -5.75024183e-02 -6.37378229e-01  7.75917698e-03  2.37111817e-02
  5.09428221e-03]",88438
2,Wine Quality Red SSE ,"[ 0.89312367 -0.00639986  0.92711127  0.96754751  0.41548282  0.98675743
  0.0067415  -0.01079492  0.89315173  0.64808827  0.93191481 -0.03310045]","[ 2.19652084e+01  2.49905527e-02 -1.08359026e+00 -1.82563948e-01
  1.63312698e-02 -1.87422516e+00  4.36133331e-03 -3.26457970e-03
 -1.78811638e+01 -4.13653144e-01  9.16334413e-01  2.76197699e-01]",-0.522379176361746,"[ 2.10720848e+01  3.13904152e-02 -2.01070153e+00 -1.15011146e+00
 -3.99151547e-01 -2.86098259e+00 -2.38016717e-03  7.53033924e-03
 -1.87743155e+01 -1.06174142e+00 -1.55804020e-02  3.09298154e-01]",100000
3,Airfoil Self Noise SSE Normalized,[ 0.83476871 -0.6749476  -0.24867424 -0.26502417  0.10512429 -0.22756977],[ 0.83487759 -0.67507913 -0.24906108 -0.26514286  0.10514586 -0.22721818],0.5157096416447686,"[ 1.08887206e-04 -1.31526235e-04 -3.86840362e-04 -1.18694779e-04
  2.15643545e-05  3.51588897e-04]",1104
4,Concrete Data SSE Normalized,"[-0.06580343  0.65460495  0.46590181  0.21975177 -0.23262489  0.1174637
  0.07829082  0.10132274  0.51799268]","[-0.06362136  0.65372242  0.46504761  0.2192059  -0.23383314  0.11722477
  0.07750913  0.10026005  0.51796229]",0.6155197017580974,"[ 2.18207417e-03 -8.82531432e-04 -8.54198415e-04 -5.45865731e-04
 -1.20824882e-03 -2.38935731e-04 -7.81693904e-04 -1.06269001e-03
 -3.03917309e-05]",17771
5,Wine Quality Red SSE Normalized,"[ 0.54242865  0.0571622  -0.31640205 -0.03656467  0.04802681 -0.22439466
  0.06186691 -0.18467129 -0.04938581 -0.10458092  0.30617154  0.35874416]","[ 0.5425106   0.05647865 -0.31640836 -0.03651279  0.04768731 -0.22453217
  0.06193093 -0.18477521 -0.04870829 -0.1050679   0.30605569  0.35905701]",0.36055163920321376,"[ 8.19480432e-05 -6.83554052e-04 -6.30910471e-06  5.18788295e-05
 -3.39505090e-04 -1.37514024e-04  6.40214471e-05 -1.03923089e-04
  6.77517277e-04 -4.86979102e-04 -1.15845978e-04  3.12851107e-04]",8553
6,Airfoil Self Noise SED,[1.09475385 0.00907806 1.09419751 1.09488186 1.08676881 1.09490083],"[ 1.32833806e+02 -1.28220711e-03 -4.21911706e-01 -3.56880012e+01
  9.98540449e-02 -1.47300519e+02]",-53.18157962394832,"[ 1.31739052e+02 -1.03602657e-02 -1.51610922e+00 -3.67828831e+01
 -9.86914760e-01 -1.48395420e+02]",669
7,Concrete Data SED,"[ 2.01225106  0.17049993  0.1412024   0.38378481  0.67623974  1.89234251
 -0.13557039 -0.07092402  0.176942  ]","[-2.33312136e+01  1.19804334e-01  1.03865809e-01  8.79343215e-02
 -1.49918419e-01  2.92224595e-01  1.80862148e-02  2.01903511e-02
  1.14222068e-01]",-2.5711976934085423,"[-25.34346465  -0.0506956   -0.03733659  -0.29585049  -0.82615816
  -1.60011791   0.1536566    0.09111437  -0.06271993]",100000
8,Wine Quality Red SED,"[ 1.16750937  0.14417018  1.23101494  1.26049786  0.94184368  1.28646037
 -0.04586681 -0.04999492  1.16789807  0.86602052  1.21208879 -0.09635416]","[ 2.19652084e+01  2.49905527e-02 -1.08359026e+00 -1.82563948e-01
  1.63312698e-02 -1.87422516e+00  4.36133331e-03 -3.26457970e-03
 -1.78811638e+01 -4.13653144e-01  9.16334413e-01  2.76197699e-01]",-8.270090370561633,"[ 20.79769907  -0.11917963  -2.3146052   -1.44306181  -0.92551241
  -3.16068553   0.05022814   0.04673034 -19.04906189  -1.27967367
  -0.29575438   0.37255186]",100000
9,Airfoil Self Noise SED Normalized,[-0.49016014  4.04757239  1.52881872  0.56600733 -0.21704013 -0.46026705],[ 0.83487759 -0.67507913 -0.24906108 -0.26514286  0.10514586 -0.22721818],-14.684629943064495,[ 1.32503773 -4.72265152 -1.77787979 -0.83115019  0.32218598  0.23304887],100000
10,Concrete Data SED Normalized,"[-1.40844131  0.99457868  0.99103911  0.47024572  0.50844906  0.85134923
  0.56099382  0.56880091  1.1722276 ]","[-0.06362136  0.65372242  0.46504761  0.2192059  -0.23383314  0.11722477
  0.07750913  0.10026005  0.51796229]",0.1302263383891461,"[ 1.34481995 -0.34085627 -0.5259915  -0.25103982 -0.7422822  -0.73412447
 -0.48348469 -0.46854086 -0.65426531]",28254
11,Wine Quality Red SED Normalized,"[-1.57703381  1.10763905  1.0029274   0.23526358  1.12113184  1.61121179
 -0.0044532   0.58398061 -0.40969692  1.44401258  1.12747082  0.97396675]","[ 0.5425106   0.05647865 -0.31640836 -0.03651279  0.04768731 -0.22453217
  0.06193093 -0.18477521 -0.04870829 -0.1050679   0.30605569  0.35905701]",-3.0057844168090995,"[ 2.11954441 -1.05116041 -1.31933575 -0.27177637 -1.07344453 -1.83574397
  0.06638413 -0.76875582  0.36098863 -1.54908048 -0.82141512 -0.61490975]",100000
